Region	Nombre Oficina	Codigo de Oficina	Nombre de Host Oficina	DisplayName	Serial	IPv4Address
Metro II	Santa Fe	9915	9915MFGE01	Canon iR1025	DRL43557	10.11.10.200
Metro I	Principal - Sambil La Candelaria	9217	9217MFAP01	Canon iR2525	FRU83003	10.10.20.202
Metro II	Universidad Simon Bolivar	9928	9928MFAP01	Canon iR1025	DRL21807	10.14.81.201
Centro Occidental	CIMA Barinas	9448	9448MFAP01	Canon iR2525	FRU83008	10.10.189.201
Metro II	C. C. Manzanares	9932	9932MFAP01	Canon iR1025	DRL43564	10.11.35.200
Occidente	San Cristobal II	9895	9895MFAP01	Canon iR2525	FRU83049	10.14.12.200
Oriente	Punta De Mata - Maturin	9647	9647MFAP01	Canon iR2525	FRU83448	10.11.37.202
Centro Occidental	San Felipe	9835	9835MFAP01	Canon iR2525	FRU47922	10.10.170.200
Oriente	Las Garzas	9655	9655MFAP01	Canon iR2525	FRU40584	10.10.206.200
Oriente	Maturin La Cascada	9503	9503MFAP01	Canon iR2525	FRU83467	10.10.1.201
Oriente	San Felix	9650	9650MFAP01	Canon iR2525	FRU84144	10.11.26.200
Oriente	San Simon - Maturin	9675	9675MFAP01	Canon iR2525	FRU84156	10.11.24.200
Oriente	Puerto Ordaz Oficina 	9510	9510MFCO01	Canon iR2525	FRU84158	10.10.161.212
Oriente	Barcelona	9560	9560MFAP01	Canon iR2525	FRU84161	10.10.90.200
